Img_Name,Author
01 - Damselfly Love,Pete Anslow
02 - Dying Daff,Margaret Hazeldine
03 - A black butterfly sitting on a flower,Paul Hough
04 - Painted Lady,Judy Moore
05 - Cockchafer beetle,Joan Banks
06 - Painted Lady,Ian Ralston
07 - Ready for Take Off,John Horton
08 - Malabar Tree-Nymph Butterfly,Sue Poole
09 - To a New Beginning,Pete Anslow
10 - Hover-Fly,Joan Banks
11 - Lunch Time,Margaret Hazeldine
12 - Matching Accèssories,Chris Littlewood
13 - Brown Hawker Dragonfly,Sue Poole
14 - Just Resting,John Horton
15 - Common Darters,Chris Littlewood
16 - Locust,Ian Ralston
17 - Banded Demoiselle,Judy Moore
