Img_Name,Author
01 - A Peaceful Afternoon,Joan Banks
02 - Trip Hazard,Graham Welsby
03 - Aysgarth falls,Ian Ralston
04 - On the Irrawaddy,Margaret Hazeldine
05 - Quiet Morning,Judy Moore
06 - Overflow,John Horton
07 - Morning Fishing,Phillip Simmons
08 - Buildwas 2018,Ian Ralston
09 - Looking For Fun,Phillip Simmons
10 - The River Severn at Buildwas,Sue Poole
11 - Wrekin View,Joan Banks
12 - Adventurous,John Horton
13 - The Backwaters,Margaret Hazeldine
14 - Morning Light on the River Severn,Sue Poole
15 - Mossy Bank,Judy Moore
