Img_Name,Author
01 - Barge Mooring Ring,Ian Reece
02 - View from Derwent Water,Russ Poutney
03 - Chained Up,Mike Kinnear
04 - Tied up for the night,Joan Banks
05 - Afternoon calm,Val Sturman
06 - On The Ebb,Judy Moore
07 - Tethered,John Horton
08 - The tides coming in,Joan Banks
09 - Moored to a Sheep,Mike Purnell
"10 - What's up, duck",Val Sturman
11 - Moored too long,Mike Purnell
12 - Anchorage Point,Ian Reece
13 - Sea Sand Sky,Judy Moore
14 - Old Rope,Natalie Kinnear
15 - Where's the water gone,John Horton
