Img_Name,Author
01 - Spring Gardener,Sally Cook
02 - Afternoon tea,John Horton
03 - Lads Weekend Away,Andre Hundley
04 - Barge at Rest,Russ Powney
05 - Leisurely Lunch,Joan Banks
06 - Chugging along,Garry Jones
07 - Family day out,Val Sturman
08 - A leisurely throw,Ian Reece
09 - Waiting,Judy Moore
10 - Leisurely Walk,Julie Beddow
11 - Simple Pleasures,Joan Banks
12 - Picnic on the hill,Julie Beddow
13 - Winning Shot,Sally Cook
14 - Nearly but not quite,John Horton
15 - Listening To The Band,Andre Hundley
16 - Cup and Ball,Garry Jones
17 - Lads Army,Mike Kinnear
18 - To The Beach,Judy Moore
19 - How does he do that,Ian Reece
20 - Taking in the view,Val Sturman
