Img_Name,Author
01 - Finishing Touches,Hannah Ray
02 - Its a Snip,Joan Banks
03 - The Glass Cutter,Paul Hough
04 - Knife Angel Hands,John Watkinson
05 - Micrometer,Ian Ralston
06 - Handstrung,Katrina Shaw
07 - All hands to the plough,Sue Poole
08 - Now thats my kind of work,Graham Harris
09 - Finger Gripping Good,Joan Banks
10 - CSI - Shropshire,Sophie Harris
11 - Farmers Caring Hands,Katrina Shaw
12 - Feragudo fishermen 1,Trevor Rowley
13 - Now Wash Your Hands,John Watkinson
14 - Down at the Smithy,Sue Poole
15 - Feragudo fishermen 2,Trevor Rowley
16 - Preparation,Hannah Ray
17 - Transplant,Ian Ralston
18 - Hammer and Chisel,Paul Hough
19 - Hands,Phillip Simmons
20 - Through the looking glass,Sophie Harris
