Img_Name,Author
01 - Bridge To Nowhere,Ian Reece
02 - Ribble Head,John Horton
03 - Straight Down the Middle,Joan Banks
04 - A World First,Pete Anslow
05 - You Crossed because the Bridge Allowed It,Julie Beddow
06 - Clifton Suspension Bridge,Mike Purnell
07 - Trevor,Phillip Simmons
08 - Towpath Reflection,Garry Jones
09 - Full Circle,Ian Reece
10 - Severn Crossing,John Horton
11 - Crisscross View,Julie Beddow
12 - Pulteney Bridge,Pete Anslow
13 - The Only Way is Up,Garry Jones
14 - Race under the Menai Suspension Bridge,Mike Purnell
15 - Barmouth Bridge,Phillip Simmons
16 - Four Bridges,Joan Banks
