Img_Name,Author
01 - You did say a box,John Horton
02 - Irish night at The Boat,Garry Jones
03 - Just Watching,Russ Powney
04 - Concentration,Ian Reece
05 - A Quiet Corner in Dublin,Judy Moore
06 - The Quiet Pint,Andre Hundley
07 - Gen Z does Coffee,Sally Cook
08 - Table for One,Garry Jones
09 - Cafe Life 2026,Ian Reece
10 - An Evening Tipple,Judy Moore
11 - The Beachfront Cafe,Andre Hundley
12 - The Art of Conversation,Sally Cook
13 - An Espresso and a Blueberry Muffin,John Horton
14 - View from the Bar,Russ Powney
